,Kittitas,Tieton,Roza,Wapato,Sunnyside,Q789
1980-01-01,12.323828370507158,3.4334557171514777,13.187117551634374,23.32322033560395,16.982201904541004,9.384388545133307
1981-01-01,13.20761831097276,3.5360055343847483,14.129960670855926,24.213191668833463,17.416682381842698,10.642789190926814
1982-01-01,13.41662695073408,3.5737523813972536,14.358755759931727,24.53463624096657,17.600306600195214,14.747339574706615
1983-01-01,12.653732362914127,3.4590818530636263,13.692103253193455,23.76162679422988,17.19975629856499,13.028410157892658
1984-01-01,13.332469763748165,3.544688179661476,14.343250009767523,24.304006370619703,17.503692519229247,18.07993723669673
1985-01-01,10.948450314259409,3.360005631118993,11.90767469080094,22.089546280926626,16.702066770015904,19.4684400139452
1986-01-01,11.678351006214609,3.4491409660856958,12.501775563952126,22.70974825498361,16.78798507192539,9.847616246237287
1987-01-01,12.037516298898685,3.4455151168508413,11.526273526574498,21.619334376198267,16.232423238639278,0.0006715962014529446
1988-01-01,12.612507324693395,3.403876972668154,13.099837837931902,23.20123530811502,16.884523966272695,6.561138717458069
1989-01-01,12.751213434478858,3.4306872395361045,13.576804759784258,23.598925748257674,17.12631104440504,8.362689102906893
1990-01-01,13.583546572689942,3.482097020726726,14.212329431041912,24.289407949467826,17.5539222566203,10.247912227841674
1991-01-01,13.783975470335543,3.4253413182467694,14.258087463979118,24.152994508513203,17.689556536120612,15.518504699064286
1992-01-01,11.760396742643787,3.2659470270039583,10.983534922450014,21.196739500590112,15.995868572224149,0.662136303171602
1993-01-01,11.517152269084875,3.289281017381298,11.178556133926579,21.216858572548922,16.151151599683576,4.921528019400625
1994-01-01,11.155348907979999,3.2063907031390952,8.494984811784166,18.22016065778399,14.761997952287546,-5.602845945061722e-15
1995-01-01,12.828021143704323,3.2081863423679664,12.620321329229629,22.734161557529163,16.47758076328344,19.377663808563597
1996-01-01,13.885170973114235,3.3928709779346806,12.821267613641021,22.480675029111023,17.69311789704309,18.001778917142307
1997-01-01,13.692036543020135,3.3257279768785577,12.094205948602083,21.432396710329407,17.888490007522666,31.550289994618662
1998-01-01,11.699800999619349,3.0153811949310274,10.848202388201981,21.19034599066817,15.612890156241455,21.37837741561242
1999-01-01,13.960053346139285,3.151920935930095,12.345064899486896,21.85082720882507,17.1031003587455,46.15440898076769
2000-01-01,13.25244706573095,3.0648650554796917,12.073520898087025,22.413362978857922,15.821215096032057,16.922370149745817
2001-01-01,6.613662378749092,2.815356714865987,5.529417388736707,14.155036951169691,12.876597173617112,17.52170519089897
2002-01-01,13.537443637255162,3.0319945390769645,12.060066831472142,22.247327569324117,15.68618976206987,16.060879096226746
2003-01-01,12.366460645148294,2.920644246407158,11.037918837102898,21.470315073962954,15.054079123025948,12.46456617069194
2004-01-01,11.7448609159307,2.9101042200654947,10.429933372352584,20.51344556572614,14.74851652247274,12.641014599817202
2005-01-01,7.552598361906944,2.8859370871164525,6.623651619044382,15.374022823089406,12.812223000302204,14.256465206672102
2006-01-01,13.39243050557615,3.0639914248092643,12.080241122459398,22.29117916976302,15.403737583448484,14.57883870849039
2007-01-01,13.85749074183437,3.0758904658743202,12.526469449220992,22.127206399631255,15.83052963470196,13.932332127024765
2008-01-01,12.79551945599217,3.088516009611199,11.744969121301356,21.790852711307952,15.097534652618654,24.700791848723167
2009-01-01,13.297317621648663,3.1130935000185698,12.43359480847265,22.073759806018476,15.41259644478515,15.593764529431207
2010-01-01,11.365139807039043,2.9534611444723033,10.495560656250777,19.995706460710068,14.69313195334313,28.748020593309395
2011-01-01,13.692412015344571,3.149511762140974,12.710041508981808,22.331167624751963,15.664737065537338,27.766249349170533
2012-01-01,13.344035871041953,3.0746956807716677,12.450943375500499,22.177929881796473,15.40342613098563,27.869704384050454
2013-01-01,11.646221598703967,3.0077872839530526,10.847369840253384,20.658597702359902,14.822735448869707,23.966356983931203
2014-01-01,12.74643762536006,3.0681494706572754,11.915190195116528,21.775356409540123,15.178985398497048,20.251632720130647
2015-01-01,8.135900743566022,2.9927584540567955,7.545590715246437,16.381386079766074,12.976434181922617,11.352565962263919
2016-01-01,13.657163272496392,3.139195165845945,12.61261562439921,22.248707686724178,15.61969956360442,9.14811140066309
2017-01-01,12.856077155229919,3.1260550188364946,11.98818633345197,21.83762147545043,15.20390212455502,15.493072158495552
2018-01-01,12.90654222747252,3.0549662594598255,11.893841313240635,21.55489483104228,15.137240398161154,10.788308722753158
2019-01-01,11.168207266400232,2.9895643660268694,10.093894933430619,19.410392361489006,14.542032968236896,7.79814565344554
2020-01-01,12.77157218609907,3.0714268081850147,11.901975099770791,21.486995785183957,15.06933205895552,14.613550178848891
2021-01-01,12.483872507286288,3.0848587138972574,11.611561511943773,20.839110652945443,14.886914941729154,17.73171257044932
2022-01-01,12.668391767225048,2.993413492060335,11.85647480662326,20.95886408883359,14.962996481985286,23.86993697418731
2023-01-01,11.154016438376468,3.001984560578676,10.220369397517484,19.240813565266784,14.43907345538869,11.577289149737602
